反射光センサー, ジャイロ角度, ジャイロセンサ角速度,ターン,P,モータ角位置
0,0,28,0,0,3056
0,0,27,0,0,3060
0,0,17,0,0,3063
0,0,40,0,0,3066
0,0,3,0,0,3070
0,0,42,0,0,3073
0,0,7,0,0,3076
0,0,20,0,0,3080
0,0,27,0,0,3083
0,0,17,0,0,3086
0,0,25,0,0,3090
0,0,17,0,0,3093
0,0,31,0,0,3096
0,0,8,0,0,3100
0,0,32,0,0,3103
0,0,12,0,0,3106
0,0,31,0,0,3110
0,0,22,0,0,3113
0,0,21,0,0,3116
0,0,22,0,0,3120
0,0,7,0,0,3123
0,0,25,0,0,3126
0,0,18,0,0,3130
0,0,34,0,0,3133
0,0,7,0,0,3136
0,0,36,0,0,3140
0,0,21,0,0,3143
0,0,18,0,0,3147
0,0,21,0,0,3150
0,0,27,0,0,3153
0,0,27,0,0,3156
0,0,18,0,0,3160
0,0,32,0,0,3163
0,0,7,0,0,3167
0,0,34,0,0,3170
0,0,15,0,0,3174
0,0,23,0,0,3177
0,0,27,0,0,3180
0,0,17,0,0,3184
0,0,29,0,0,3187
0,0,11,0,0,3190
0,0,30,0,0,3194
0,0,10,0,0,3197
0,0,29,0,0,3200
0,0,19,0,0,3204
0,0,25,0,0,3207
0,0,23,0,0,3210
0,0,16,0,0,3214
0,0,30,0,0,3217
0,0,16,0,0,3220
0,0,28,0,0,3224
0,0,14,0,0,3227
0,0,18,0,0,3230
0,0,18,0,0,3234
0,0,24,0,0,3237
0,0,19,0,0,3241
0,0,18,0,0,3244
0,0,26,0,0,3247
0,0,11,0,0,3250
0,0,24,0,0,3254
0,0,16,0,0,3257
0,0,26,0,0,3261
0,0,19,0,0,3264
0,0,23,0,0,3268
0,0,16,0,0,3271
0,0,9,0,0,3274
0,0,27,0,0,3278
0,0,14,0,0,3281
0,0,26,0,0,3284
0,0,15,0,0,3288
0,0,20,0,0,3291
0,0,20,0,0,3294
0,0,26,0,0,3298
0,0,15,0,0,3301
0,0,27,0,0,3304
0,0,17,0,0,3308
0,0,24,0,0,3311
0,0,26,0,0,3315
0,0,20,0,0,3318
0,0,22,0,0,3321
0,0,18,0,0,3325
0,0,21,0,0,3328
0,0,20,0,0,3332
0,0,27,0,0,3335
0,0,15,0,0,3338
0,0,23,0,0,3342
0,0,20,0,0,3345
0,0,16,0,0,3348
0,0,32,0,0,3352
0,0,17,0,0,3355
0,0,24,0,0,3358
0,0,20,0,0,3362
0,0,23,0,0,3365
0,0,14,0,0,3368
0,0,29,0,0,3372
0,0,21,0,0,3375
0,0,26,0,0,3378
0,0,23,0,0,3382
0,0,14,0,0,3385
0,0,31,0,0,3388
0,0,12,0,0,3392
0,0,26,0,0,3395
0,0,25,0,0,3398
0,0,18,0,0,3402
0,0,25,0,0,3405
0,0,14,0,0,3409
0,0,24,0,0,3412
0,0,13,0,0,3415
0,0,30,0,0,3418
0,0,11,0,0,3422
0,0,35,0,0,3425
0,0,13,0,0,3429
0,0,21,0,0,3432
0,0,27,0,0,3436
0,0,11,0,0,3439
0,0,34,0,0,3442
0,0,12,0,0,3445
0,0,30,0,0,3449
0,0,16,0,0,3452
0,0,30,0,0,3456
0,0,19,0,0,3459
0,0,26,0,0,3462
