反射光センサー, ジャイロセンサ角速度,P,D,走行距離　
35,3,5,-10,765.529236
35,12,5,0,766.236084
35,14,5,0,767.649780
35,8,5,0,768.003235
35,10,5,0,769.416931
35,17,5,0,770.123779
35,14,5,0,771.537476
35,7,5,0,772.244324
35,9,5,0,773.658020
34,11,4,-10,774.364868
34,5,4,0,775.425171
34,-6,4,0,776.132019
34,4,4,0,777.545715
34,0,4,0,778.252563
34,-3,4,0,779.312866
34,-3,4,0,780.373169
34,5,4,0,781.433472
34,5,4,0,782.493774
34,1,4,0,783.554077
34,2,4,0,784.614380
34,7,4,0,785.674683
34,10,4,0,786.734985
33,6,4,-10,787.441833
32,-2,3,-10,788.855530
32,-5,3,0,789.915833
33,9,4,10,790.622681
32,2,3,-10,791.682983
32,-9,3,0,792.743286
32,-9,3,0,794.156982
32,-2,3,0,794.863831
32,-2,3,0,796.277527
32,-1,3,0,797.337830
30,-6,1,-20,798.044678
29,-2,0,-10,799.104980
29,2,0,0,800.165283
29,14,0,0,801.578979
27,-1,0,-20,801.932434
28,0,0,10,803.346130
28,16,0,0,804.406433
28,11,0,0,805.466736
28,2,0,0,806.527039
